label,review
Neg,آخر دوره دوست دارم بیایم بستنی رولی دوست دارم
Neg,آخر عمر پام نمی‌گذارم غذا‌‌هایش گران هست کیفیت حد قیمت نیست سالاد خیلیی بد بود حد سالاد کاهوی معمولی وقت قیمتش اا هزار تومان بود ناراضی بودیم تومان پول الکی
Neg,آخرین باری رفتیم اواسط شهریور بود کیفیت گوشت برگر‌‌ها شدت افت کرده آبدار خوشمزه نیست خشک بیمزه است کیفیت مرغ سوخاری سیب‌زمینی شوند نصف شده تردی تازگی ندارد دستگاه بستنی سافت شوند جمع کرده بودند نقطه قوتشان بود قیمت‌‌هایشان حدود درصد افزایش دادن کیفیت گران هست
Neg,آخر کجا‌‌هات داگ کوکتل نصف شده می‌گذارند ساندویچ یاد دبیرستان افتادم قیمت بالا نسبت کیفیت
Neg,آخرین باری پیتزا گرفتم خوب نبود ساندویج‌هاش خوب هست
Neg,آدرسش نیست
Neg,آذر رفتم غذای راتاتویی پیاز دارچین کباب برگ متاسفانه مو پیداکرده‌ام کباب سبز کباب برگ نتوانسته بودند بوی گوشت بگیرند ماهی قرل الا نیم پز بود بوی نامطلوبی داشت سرویس‌دهی فوق‌العاده بد طوری سماقدان اضافه نداشتند سر میز میز برداشتند توجه ظهر جمعه خلوتی رستوران می‌توان حدس زد چندان استقبالی رستوران نشده
Neg,آق‌های فیدیلیو جان رستوران تعطیل‌شده محلش دست تعمیر هست ماه جاش قرار هست کافه رستوران بشود
Neg,آماده کردن املت ساعت برود درحالی کافه خلوت بود
Neg,آس پی رفتن صفا کار اشتباهی هست قبلا صفا خوب بود پاتوق بچه‌‌های دانشگاه بهشتی بود صبحانه کیفیت سابق دارد سرویس‌دهی خوب قیمت‌ها بالا است
Neg,آشغال‌‌ترین کباب می‌توانید میل کنید شعبه سعادت آبادش خوب هست افتضاح هست
Neg,آش‌‌ها خوشمزس جدیدا آش شله قلمکار‌ش بنظرم خوب هست برخورد بد پرسنل رفتار زننده‌یشان فضای بدشان طبقه بالا فصول گرم تحمل نبست شدت گرما نبود اکسیژن باعث شده هرگز پام نگذارم جاهای بهتری برای‌‌هایش خوردن تهران هست فضای بهتر رفتار مودبانه
