label,review
neg,آخر جای دوره خیلی دوست دارم بیایم بستنی رولی خیلی دوست دارم
neg,آخر عمر پام نمی‌گذارم خیلی خیلی غذا‌‌هایش گران هست اصلا کیفیت حد قیمت نیست سالاد خیلیی بد بود حد سالاد کاهوی معمولی وقت قیمتش اا هزار تومان بود خیلی خیلی ناراضی بودیم تومان پول الکی
neg,آخر کجا‌‌هات داگ کوکتل نصف شده می‌گذارند ساندویچ یاد دبیرستان افتادم قیمت بالا نسبت کیفیت
neg,آخرین باری رفتیم اواسط شهریور بود کیفیت گوشت برگر‌‌ها شدت افت کرده آبدار خوشمزه نیست خشک بیمزه است کیفیت مرغ سوخاری سیب‌زمینی شوند نصف شده تردی تازگی قبل ندارد دستگاه بستنی سافت شوند جمع کرده بودند نقطه قوتشان بود قیمت‌‌هایشان حدود درصد افزایش دادن کیفیت خیلی خیلی گران هست
neg,آذر رفتم پیش غذای راتاتویی پیاز دارچین کباب برگ متاسفانه مو پیداکرده‌ام کباب سبز کباب برگ نتوانسته بودند بوی گوشت بگیرند ماهی قرل الا نیم پز بود بوی نامطلوبی داشت سرویس‌دهی فوق‌العاده بد طوری سماقدان اضافه نداشتند سر میز میز برداشتند توجه ظهر جمعه خلوتی رستوران می‌توان حدس زد چندان استقبالی رستوران نشده
neg,آخرین باری بود اینجارو انتخاب کردم کیفیت استیک واقعا پایین بود حجم خیلی کمی داشت دارچین کوچکی کنارش بود فیل هست مرغ پارمژان سفت بود طعم خوبی نداشت قیمت‌‌ها خیلی بالا بود نسبت مدت‌زمانی منتظر غذا بودیم خیلی طولانی بود سرویس‌دهی فضا دکوراسیون نکته مثبت مون لانژ بود
neg,آخرین باری پیتزا گرفتم خوب نبود ساندویج‌هاش خوب هست
neg,آش‌‌ها خوشمزس البته جدیدا فقط آش شله قلمکار‌ش بنظرم خوب هست برخورد بد پرسنل رفتار زننده‌یشان فضای بدشان طبقه بالا فصول گرم اصلا قابل تحمل نبست شدت گرما نبود اکسیژن باعث شده هرگز پام نگذارم جاهای بهتری برای‌‌هایش خوردن تهران هست فضای بهتر رفتار مودبانه
neg,آشغال‌‌ترین کباب ممکن می‌توانید میل کنید البته شعبه سعادت آبادش خوب هست افتضاح هست
neg,آماده کردن املت ساعت زمان برود درحالی کافه خلوت بود
neg,آمدم بنویسم توروخدا نرید ورسای پولتان دور نریزید می‌بینم همه تعریف کردن رفتیم دو نفری اصلا نمیومد ببیند زنده‌‌هایم بعد کلی خواهش تمنا صدا کردن پرسنل بالاخره چیزی گذاشتن جلومان خوردیم بلند شدیم زدیم بیرون اصلا وحشتناک بود آه فقط طراحی داخلی خوبی داشت کلی هرگز نمی‌روم مگر دعوتم کنند بروم
neg,آدرسش نیست
neg,آلبالو پلو بسیار بد بود احتمال زیاد مربای آلبالو درست شده بود
neg,آمدم بگویم سلام دیدم بهتر هست بگویم سلامی علیکی آخر رفتیم پیتزای مارگاریتا پیتزای رست بیف گرفتیم خمیر پیتزا شدت بد مزه نپخته بود مزه خمیر واقعا غیرقابل تحمل بود گوشتی پییتزای رست بیف استفاده کرده بودن مشخصا بی‌کیفیت بود قیمت پیتزا رست بیف تومان اول گفتیم بعد افطار شام می خواهیم بخوریم چیزی نگفتن منوی شام آوردند توضیح دادن غذا‌های اصلی اسنک‌‌ها پیش غذا‌ها بشقاب‌‌ها ندارند فضای جام شدت معمولی هست بار رفتن چای خوردن پیشنهاد نمی‌کنم
neg,آق‌های فیدیلیو جان رستوران تعطیل‌شده محلش دست تعمیر هست ماه جاش قرار هست کافه رستوران بشود
neg,آوانس هستند جز اولین کافه‌هایی بود رفتم دروغ کیفیت دارد محیط قشنگ تنها دلیلی دوسش دارم خاطراتی هست هیچ وجه نمی‌شود ازشان گذشت
neg,آنقدر تعریف کردن برید ساندویچ‌‌هایش حرف ندارد کلی ذوق رفتیم بسیار شلوغ صف‌‌های طولانی دارد واقعا خیلی مضخرفه بودیم نوع ساندویچ هاشو گرفتیم خیلی بوی بد میداد مواد داخل ساندویچ زور مواد داخل نون بولکی کهنه گذاشته بودن حجم غذا کم بود بدمزه بد بو بوی کهنه گی نون همه بد‌تر نمی‌دانم چه‌جوری بعضی‌‌ها دوست دارند
neg,آیتم دارد کوکو سیب‌زمینی واقع توپک چرب پوک سیب‌زمینیه
neg,ابتدا محیطی کوچک تنگ نشستن بیشتر شبیه ساندویچی معمولی رستوران ایتالیایی سالاد سزار پیتزا چانو سیب‌زمینی ایتالیایی ماهیت سفارش دادیم مزه‌ی معمولی بد داشت ماهیت واقعا بد مزه حدی اصلا نخوردیم پیتزا نوشته فیل هست گوساله تنها مزه‌ای نمیداد مزه‌ی گوشت بود سیب‌زمینی بعضی‌‌هایش نپخته بود ومزه‌ی خاصی نمیداد پنیر چدار خیلی داشت غرق پنیر بود بیشتر مزه‌ی پنیر میداد سیب‌زمینی نظرم نباید رستوران برود چون بسیار کیفیتی برخوردار نبود قیمت بالا نسبت کیفیت نداشته کلا توصیه نمی‌کنم نظرم میخوش حرف اول بلوار فردوس می‌زند رستوران‌هایی تسترها‌ی فاقد استاندارد معرفی می‌کنند نباید رفت کیفیت مهم‌ترین نکته‌ی رستوران هست رستوران اصلا رعایت نشده بود
neg,ابان رفتم چیزبرگر قارچ گرفتم حجمش نظرم مناسب بود طمعش نمی‌توانم بگویم عالی بود نظرم نسبت قیمتش معمولی بود
neg,اب شهر لیوانی هزار تومان قاشق چنگال لیوان ظرف بسیار کثیف سرویس کند نصفش ندارند اصلا شبیه عکسایی هست نیست خیلی خیلی حیاطش خراب‌‌تر عکسهاست
neg,ابتدای افتتاح کیفیت غذا برخورد‌ها بسیار عالی بود شلوغ‌تر شدن کیفیت کمیت بار افت جدی کرد غذاهایی ثابت چندین بار سفارش دادم می‌شود گفت کیفیت کمیت نصف کاهش یافته است جای پارک فراموش کنید برخورد مسیول نوبت‌دهی خصوصا دربان جوان هنگام شلوغی رستوران زننده است قبلا خودم می‌رفتم دوستان پیشنهاد می‌دادم
neg,ابدا تجربه‌ی خوبی نبود واقعا مرغ‌ها مزه‌ی مرغ سوخاری چندبار داغ شده میداد نمی توانم اسمش بگذارم جوجه قیمت نسبت کیفیت بالا بود
neg,ابتدا ولکامینگ نان زعتر داغ پنیر فتایی خیار گوجه هست می‌آورند تنها بخشی رضایت بود همین بود ساندویچ فلافل خوب بود کوچیک بود سیر نمی‌کند گفته بودند داخل ساندویچ سیب‌زمینی هست دیدم نیست گفتند سیب‌زمینی جدا می‌آوریم عذرخواهی کردند رفتارشان خوب بود
neg,اب میوه‌ای خوبی هست حد ایرادی دارد اصولا چیزهایی سفارش می‌دهی خنک نیست شیر پسته کمی شل گرم بود عنوان‌ی گزینه معمولی می‌شود روش حساب کرد
neg,ابتدای ورود اختصاص میز بد بود جای تنگ همه حلق همدیگن غذا کارکن‌ها هستند بی‌اعصاب کلا چون عاشق غذای هندی هستم غذای هندی زیاد خوردم البته هند باسیل هست آشپز درجه هندی خانم خانه دارد هندی زیاد نظرم جلب نکرد چون کیفیت چندانی نداشت
neg,ابان بودم کیفیت غذایش خیلی بد بود حالا نشده بود ماهیچه برنج سفید جایی بخورم خیلی ماهیچه بوی زه‌ام گوشت میداد کره طعم مانده ترشیدگی شیشیلیک معمولی خاص پرفکت جدا شلوغی جالب هست گارسن می‌گفت برید پیش دو زوج بنشینید اصلا قشنگ نبود واقعا حیف پول خیلی تعریف شنیده بودم شور ذوق رفتم خیلی تعجب کردم
neg,ابتدا بگویم بد‌ترین پیتزایی بود تاحالا سفارش دادم حجم بسیار کم شور تقریبا مخلفات قیمت بسیار زیاد بود پیتزایی کیفیت وحجم همه جای دنیا معمولا فودکورت قیمت‌‌ها پایین‌‌تر رستوران‌های داخل شهر هستند متاسفانه برعکس هیچ وجه فواد کارت کوروش خرید نمی‌کنم
