label,review
4,‌از کافه‌‌های محبوب منطقه سفارش‌‌هایم راضی بودم خصوص سالاد سبزیجات مثلش جایی نخوردم سرویس‌دهی پرسنل خوب هست خوش برخورد هستند
3,آبگوشت خانگی خوشمزه گوشت کوبیده لذیذ محیط نوستالژیک گرم پرسنل کاربلدی داشت رفتنش می‌ارزد
3,آبگوشت محیط سرویس عالی خانوادگی خوب هست مسافر گردشگر سمت راه‌اهن غذا کیفیت نمی‌شود
4,‌ساله کافه می‌آیم وقت کیفیتش افت نکرده
4,آبگوشت نخور‌هایی جذاب هست گروه دوستام بارها رفتم راضی بودیم بخصوص مخلفات متنوع جالبی دارد خوشمزه دکورش فوق‌العاده نکته چندان خوب هست دو نفری دیزی سفارش می‌دهیم آخر حدود نفری تومان می‌آید
4,آبگوشت یادم بیاید اولین جایی هست ذهنم می‌آید حتما بار امتحان کنید
3,آبگوشت‌‌های خوشمزه تری خوردم قیمت تومان دیزی زیاد هست آبگوشت چیز‌های خاصی نذاشته بودن کاسه سالاد سبزی دو مدل ترشی پارچ دوغ محیط جالبی دارد شلوغ هست رفتار پرسنل خوب هست چای بامیه بعدش عالی هست
1,آخر دوره دوست دارم بیایم بستنی رولی دوست دارم
4,آبگوشت خوشمزه‌ای دارد بخصوص آماده کردن گوشت کوبیده کارا راحت می‌کنند نان تازه ومخلفات خوشمزه حسن ختام چای بامیه غذا عالی باعث نمی‌شود آبگوشت قیمت چلوکباب برگ حساب کنند نشستن تنگ صف انتظار
4,آبگوشت‌‌های فوق‌العاده طعم فضای قدیم
1,آخر عمر پام نمی‌گذارم غذا‌‌هایش گران هست کیفیت حد قیمت نیست سالاد خیلیی بد بود حد سالاد کاهوی معمولی وقت قیمتش اا هزار تومان بود ناراضی بودیم تومان پول الکی
3,آبگوشتش عالی هست شیشلیکش معمولی کباب کوبیده زیاد جالب نبود بوی چربی میداد محیط خوب رفتار خوب کارکن‌ها هستند
4,آخ مگر داریم بهتر
4,آخر هفته دوباره بودم علیرغم شلوغ آخر شب بود پرسنل دست‌پاچگی لبخند لب کار مشتری‌ها هستند می‌انداختند
3,آخ عاشق آش شله قلم کار آش دوغ اینجام کافی هست سمت توحید یاستارخان رد بشوم می‌روم ظرف میخرم می‌آیم خانه می‌خورم عالی هست خانواده‌ی هرجایی حلیم نمی‌خورند حلیم دوست دارند
2,آخر هفته چهارتایی موتور رفتیم نظرم بهترین شکل استفاده هست بچه محلات بروی صد موتورخ همبرگر مغز بندری نظرمان قبول بودن بندری قارچ پنیرش بود
4,آخر هفته خوب همسرم رفتیم موزه نیاوران گردش رستوران گردش نیست شیشه ماشینم پیتزا آرد بود گفتم بریم ببینیم چطور هست گشتن آدرس پیدایش کردیم زیاد نبود شلوغ نبود پیتزا پپرونی ساسج سفارش دادیم سالاد سیب‌زمینی سس‌‌هایشان خوشم آمد پیتزایشان کم مواد بود خوشمزه بود
3,آخر شب گشایتان بود طرفهای اندرزگو بودین حتما سر بزنید سفارش سریع آماده می‌کنند قیمتش مناسب هست جگر میداد سیخی تومان پشت پارک کوچیک هست می‌توانید برید غذا میل کنید مغازه اندازه دارد سه چهار میزم مغازه گذاشتن دیوار مغازه پر عکس بازیگر‌ها ورزشکارهایی هست قبلا رفتن برید ضرر نمکنید
3,آخر گناه داریم هروقت رفتیم کباب مانده باشد سلمان اینقدر زیاد خوب هست محیط غذا‌ها کرم کارامل نفیسشان
4,آخر هفته رستوان رفتیم شلوغ بود تصمیم گرفتیم برش امتحان کنیم شمارمان گرفتن گفتن اسرع وقت زنگ می‌زنیم همینطور شد برخورد پرسنل خوب بود پیزایش عالی سالاد سیب‌زمینی خوب بود ممنون کادر فعال مودبتان غذای خوبتان ضمنا روبروی خیابون دست خیابون اصلی پارک کردیم پارک مناسب نصیبمان شد
4,آخر هفته شب رفتیم شلوغ بود تایم کوتاهی منتظر شدیم میز خالی بشود پرسنل رفتار خوبی داشتن همبرگر مینی دارچین کاهو بابر دارچین سیب‌زمینی چدار ساندویچ کراکف آوردند بود طعم برگر‌ها واقعن عالی بود دفعه می‌روم کراکف خوب بود راضی بودیم
4,آخر هفته رفتیم ساندویچ رست بیف سفارش دادیم خوشمزه بود سس خوشمزه‌ای کنارش سرو شد
5,آخر هفته گردش رفتیم پیتزا آرد اقدسیه منوی ساده‌ای دارد پیتزا ساندویچ کیفیت خوبی دارد ساندویچ استیک پیتزای پپرونی سفارش دادم سیب‌زمینی مخصوص بوی پیاز می‌دهد دوست نداشتم همسرم تنهایی خورد منم سالاد چیکن تنهایی خوردم ندادم خوشمزه بود سس خردل استیک طعم جالبی داشت پیتزایش ساده بود اونی نظر بیاید خوشمزه بود
2,آخر هفته شلوغ بود طوریکه شماره تماس می‌نوشتند میز خالی نداشتن دقیقه‌ای طول می‌کشید تماس بگیرند دعوتت کنند داخل پرسنل خوش برخوردی داشت فضا علی رغم شلوغی نزدیکی میز‌ها بهم خوب بود سیب‌زمینی آل هستید سس مخصوصش عالی بود پیتزا سوپر هستیم طعم معمولی نون خشکی داشت
2,آخر هفته‌‌ها شدت شلوغ فضای جالبی دارد کیفیت غذا‌ها پایین هست قیمت‌ها بالا است
3,آبادان فلافل خوردم خرمشهر خوردم عراق خوردم تهران خوردم فلافلی فلافلش فلافلی‌ها مزه کوکو کتلت نمی‌دهد مزه فلافل می‌دهد است سس انبه عالیش
5,آخر کار مجموع هزینه‌‌ها سوربرایز می‌شوی
3,آخر هفته‌‌ها می‌خواهید رستوران غذا بخورید زود‌تر اقدام کنید صف طولانی هست نوبت بمانید تماس بگیرند رستوران منطقه قبلا امتحان کرده بودیم پسند جمع نبود صف داشتند صورت نوشتیم دقیقه تماس گرفتند رستوران رفتیم فضای دلباز منظره خوبی داشت کباب سفارش دادیم شیشلیک لقمه فیل هست زیادی طول کشید غذا آوردند کباب‌‌ها دیس خالی گذاشته بودند دارچین‌‌ها حد دواند هرچیزی بود فکر می‌کنم گارنیش دارچین‌‌های غذا مهم‌ترین بخش‌‌های سرو غذا رستوران‌‌های حرفه‌ای هست رعایت بشود کیفیت غذا خوب بود کباب‌‌ها مغز پخت بودند حجم برنج کم بود زیتون پرورده برخلاف اکثر رستوران‌‌ها تازه خوب بود سرویس‌دهی دیر دیر می‌شد تعداد نفرات نسبت شلوغی رستوران کم بود مودب بودند سرویس بهداشتی دواند بود نسبت جمعیتی وعده رستوران مراجعه می‌کنند کم بود دلیل صف طولانی جلوی سرویس تشکیل شده بود
4,آبگوشت خار نیستم آبگوشت جیز دیگس خودشان تیلیت می‌کنند خودشان می‌کوبند رفتارشان هستم عالی هست دوستانه صمیمی
1,آخر کجا‌‌هات داگ کوکتل نصف شده می‌گذارند ساندویچ یاد دبیرستان افتادم قیمت بالا نسبت کیفیت
3,آخر هفته شلوغ بود کیفیت غذا بد نبود قیمت‌ها گران هست
3,آخر هفته دوره همی خانوادگی رفتیم نکات جالب خلوتی شنبه شب بود پارک مشکل همیشگی بواسطه خلوتی کم‌تر دشوار بود نمی دوانم برنج مخلوط داخلی خارجی زیبنده رستوران نیست کباب جوجه چندان دلچسب نبود نظرم نسبت افت کرده است قطعا نیاز بازبینی مدیر‌ها هستند مجموعه دارد فضا دلنشین سرویس مناسب مقبول
3,آخرین بار تقریبا هفته رفتیم شش لیک استیک خوردیم سوپ مخصوص سوپ قارچ غذا سرد بود استیک شور بود سوپ قارچ مزه گذشترو نمیداد نخودفرنگی درونش بود سال هاست مشتری‌ام بد بود برخورد پرسنل عالی گرم
